Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
blm-1-single-f5-r2-c4_S11_	acceptable	154589	128234	28.0%	0.2%	5.2%	14	3.4%	50.0%	94	NA	0.0%	0.2%	0
blm-1-single-f5-r2-c5_S12_	acceptable	172534	136318	28.6%	0.2%	7.0%	15	6.3%	51.0%	93	NA	0.0%	0.2%	0
blm-1-single-f5-r2-c6_S13_	poor	208784	159480	34.8%	0.2%	11.1%	14	13.8%	51.0%	66	NA	0.0%	0.3%	0
blm-1-single-f5-r2-c7_S14_	shallow	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-single-f5-r3-c1_S15_	good	741637	677894	15.5%	1.4%	1.6%	105	16.7%	40.0%	150	NA	0.0%	1.1%	0
blm-1-single-f5-r3-c2_S16_	poor	124053	95218	25.9%	0.2%	6.5%	11	18.8%	50.0%	94	NA	0.0%	0.6%	0
blm-1-single-f5-r3-c3_S17_	poor	13534	11518	5.1%	0.0%	6.4%	1	4.3%	51.0%	94	NA	0.0%	0.0%	0
blm-1-single-f5-r3-c4_S18_	brdu	192929	160324	25.3%	0.3%	8.8%	18	13.9%	49.0%	93	NA	0.0%	0.2%	0
blm-1-single-f5-r3-c5_S19_	brdu	454191	405674	35.2%	0.6%	5.7%	43	18.4%	48.0%	152	NA	0.0%	0.8%	0
blm-1-single-f5-r3-c6_S20_	acceptable	195297	156676	32.9%	0.2%	6.5%	16	13.8%	50.0%	91	NA	0.0%	0.3%	0
blm-1-single-f5-r3-c7_S21_	acceptable	119799	96026	26.4%	0.2%	7.2%	11	9.7%	50.0%	94	NA	0.0%	0.3%	0
blm-1-single-f5-r4-c1_S22_	acceptable	258908	227202	24.6%	0.4%	4.9%	29	3.0%	48.0%	151	NA	0.0%	0.3%	0
blm-1-single-f5-r4-c2_S23_	poor	99945	75888	22.9%	0.1%	10.2%	8	14.8%	51.0%	91	NA	0.0%	0.2%	0
blm-1-single-f5-r4-c3_S24_	poor	48098	42882	8.5%	0.1%	4.3%	6	4.0%	49.0%	97	NA	0.0%	0.2%	0
blm-1-single-f5-r4-c4_S25_	acceptable	204809	160862	31.1%	0.3%	4.5%	17	16.7%	49.0%	91	NA	0.0%	0.4%	0
blm-1-single-f5-r4-c5_S26_	acceptable	161671	129994	27.1%	0.2%	9.5%	14	12.5%	50.0%	91	NA	0.0%	0.2%	0
blm-1-single-f5-r4-c6_S27_	good	324406	287482	28.6%	0.5%	2.4%	33	12.1%	48.0%	152	NA	0.0%	0.6%	0
blm-1-single-f5-r4-c7_S28_	good	261960	232988	23.0%	0.4%	3.3%	29	7.4%	47.0%	152	NA	0.0%	0.3%	0
blm-1-single-f5-r5-c1_S29_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-single-f5-r5-c2_S30_	good	172387	149352	17.0%	0.3%	4.0%	20	6.5%	47.0%	152	NA	0.0%	0.5%	0
blm-1-single-f5-r5-c3_S31_	good	231725	210272	16.6%	0.4%	1.8%	28	9.1%	46.0%	157	NA	0.0%	0.5%	0
blm-1-single-f5-r5-c4_S32_	poor	65642	56458	17.4%	0.1%	7.0%	7	4.2%	50.0%	92	NA	0.0%	0.2%	0
blm-1-single-f5-r5-c5_S33_	acceptable	283479	241158	31.8%	0.4%	3.9%	26	10.0%	49.0%	93	NA	0.0%	0.2%	0.280329
blm-1-single-f5-r5-c6_S34_	acceptable	210899	189062	18.7%	0.4%	2.2%	25	13.2%	48.0%	157	NA	0.0%	0.5%	0
blm-1-single-f5-r5-c7_S35_	acceptable	186365	152996	27.0%	0.3%	4.3%	17	8.8%	49.0%	94	NA	0.0%	0.1%	0
blm-1-single-f5-r6-c1_S36_	good	437195	389442	29.9%	0.7%	2.0%	44	18.6%	47.0%	153	NA	0.0%	0.7%	0
blm-1-single-f5-r6-c2_S37_	acceptable	172705	143518	30.1%	0.2%	5.9%	16	6.3%	49.0%	94	NA	0.0%	0.2%	0
blm-1-single-f5-r6-c3_S38_	acceptable	298281	255970	33.9%	0.4%	3.6%	26	2.6%	48.0%	95	NA	0.0%	0.6%	0
blm-1-single-f5-r6-c4_S39_	good	301194	270556	22.7%	0.5%	1.9%	35	9.1%	45.0%	157	NA	0.0%	0.3%	0
blm-1-single-f5-r6-c5_S40_	good	536559	479172	30.1%	0.8%	1.2%	56	18.4%	46.0%	156	>=2	0.0%	1.1%	0
blm-1-single-f5-r6-c6_S41_	poor	96873	86654	8.8%	0.2%	6.1%	12	7.1%	46.0%	152	NA	0.0%	0.2%	0
blm-1-single-f5-r6-c7_S42_	acceptable	253349	213436	30.3%	0.3%	4.6%	23	3.7%	49.0%	94	NA	0.0%	0.3%	0.316619
blm-1-single-f5-r7-c1_S43_	poor	179931	143958	27.4%	0.2%	5.3%	16	12.9%	49.0%	95	NA	0.0%	0.5%	0
blm-1-single-f5-r7-c2_S44_	acceptable	250800	214898	32.7%	0.3%	3.6%	22	9.1%	48.0%	97	NA	0.0%	0.3%	0
blm-1-single-f5-r7-c3_S45_	acceptable	195358	169632	22.1%	0.3%	3.0%	21	3.8%	47.0%	152	NA	0.0%	0.5%	0
blm-1-single-f5-r7-c4_S46_	poor	193187	157158	32.9%	0.2%	6.8%	16	6.3%	50.0%	92	NA	0.0%	0.2%	0
blm-1-single-f5-r7-c5_S47_	poor	133071	100262	28.1%	0.2%	5.9%	11	10.3%	50.0%	90	NA	0.0%	0.1%	0
blm-1-single-f5-r7-c6_S48_	poor	173622	131036	34.0%	0.2%	9.6%	12	12.9%	52.0%	90	NA	0.0%	0.4%	0
blm-1-single-f6-r1-c1_S50_	good	1214931	1109716	19.0%	2.2%	1.2%	151	14.0%	39.0%	151	NA	0.0%	1.4%	0.0598362
blm-1-single-f6-r1-c2_S51_	poor	114226	95694	18.9%	0.2%	4.4%	12	6.9%	49.0%	94	NA	0.0%	0.1%	0
blm-1-single-f6-r1-c3_S52_	poor	45900	38270	12.2%	0.1%	5.2%	5	3.8%	51.0%	93	NA	0.0%	0.1%	0
blm-1-single-f6-r1-c4_S53_	brdu	123738	109640	16.0%	0.2%	11.3%	14	20.0%	48.0%	95	NA	0.0%	0.3%	0
blm-1-single-f6-r1-c5_S54_	poor	162223	137910	21.2%	0.3%	3.5%	17	16.7%	49.0%	95	NA	0.0%	0.3%	0
blm-1-single-f6-r1-c6_S55_	acceptable	134566	104784	15.6%	0.2%	2.5%	14	10.3%	49.0%	153	NA	0.0%	0.2%	0
blm-1-single-f6-r1-c7_S56_	brdu	92292	78528	12.1%	0.2%	9.5%	11	19.4%	47.0%	149	NA	0.0%	0.1%	0
blm-1-single-f6-r2-c1_S57_	good	629982	529790	9.9%	1.2%	3.7%	91	14.6%	40.0%	151	NA	0.0%	0.8%	0
blm-1-single-f6-r2-c2_S58_	shallow	47847	35150	11.3%	0.1%	4.4%	5	8.0%	50.0%	95	NA	0.0%	0.1%	0
blm-1-single-f6-r2-c3_S59_	shallow	76889	56308	17.3%	0.1%	7.2%	7	11.5%	51.0%	91	NA	0.0%	0.1%	0
blm-1-single-f6-r2-c4_S60_	shallow	88549	70534	18.7%	0.1%	6.2%	9	13.3%	50.0%	93	NA	0.0%	0.4%	0
blm-1-single-f6-r2-c5_S61_	poor	93123	64246	20.3%	0.1%	6.5%	7	4.2%	50.0%	66	NA	0.0%	0.8%	0
blm-1-single-f6-r2-c6_S62_	poor	92165	74374	13.4%	0.2%	5.3%	10	9.4%	49.0%	95	NA	0.0%	0.1%	0.907401
blm-1-single-f6-r2-c7_S63_	poor	59406	46792	12.2%	0.1%	3.8%	6	11.1%	48.0%	95	>=2	0.0%	0.1%	0
blm-1-single-f6-r3-c1_S64_	shallow	40620	28868	11.7%	0.1%	6.0%	4	12.0%	50.0%	95	NA	0.0%	0.3%	0
blm-1-single-f6-r3-c2_S65_	shallow	35599	29164	6.8%	0.1%	5.2%	4	8.3%	49.0%	94	NA	0.0%	0.0%	0
blm-1-single-f6-r3-c3_S66_	shallow	6275	5562	2.2%	0.0%	3.7%	1	4.3%	47.0%	150	NA	0.0%	0.0%	0
blm-1-single-f6-r3-c4_S67_	poor	71010	61772	13.5%	0.1%	7.2%	7	10.7%	51.0%	93	NA	0.0%	0.2%	0
blm-1-single-f6-r3-c5_S68_	acceptable	265740	236984	23.4%	0.4%	3.1%	28	15.2%	47.0%	152	NA	0.0%	0.3%	0
blm-1-single-f6-r3-c6_S69_	poor	121505	100168	24.5%	0.2%	4.6%	11	12.1%	50.0%	93	NA	0.0%	0.1%	0
blm-1-single-f6-r3-c7_S70_	shallow	37408	26406	12.0%	0.1%	9.0%	3	17.2%	50.0%	68	NA	0.0%	0.1%	0
blm-1-single-f6-r4-c1_S71_	acceptable	95946	73438	18.2%	0.1%	6.3%	9	12.5%	49.0%	92	NA	0.0%	0.3%	0
blm-1-single-f6-r4-c2_S72_	shallow	62147	47172	15.3%	0.1%	7.4%	6	25.9%	51.0%	91	NA	0.0%	0.1%	0
blm-1-single-f6-r4-c3_S73_	shallow	45353	34056	11.8%	0.1%	8.8%	4	19.2%	50.0%	91	NA	0.0%	0.1%	0
blm-1-single-f6-r4-c4_S74_	brdu	128209	104508	16.1%	0.2%	5.9%	13	12.5%	49.0%	95	NA	0.0%	0.2%	0
blm-1-single-f6-r4-c5_S75_	poor	103980	91544	19.5%	0.2%	4.1%	11	6.9%	49.0%	96	NA	0.0%	0.2%	0
blm-1-single-f6-r4-c6_S76_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-single-f6-r4-c7_S77_	poor	59665	49626	9.4%	0.1%	3.2%	7	11.5%	48.0%	97	NA	0.0%	0.1%	0
blm-1-single-f6-r5-c1_S78_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-single-f6-r5-c2_S79_	poor	48453	38350	9.2%	0.1%	13.3%	5	15.4%	48.0%	95	NA	0.0%	0.1%	0
blm-1-single-f6-r5-c3_S80_	acceptable	164890	135452	22.8%	0.2%	3.7%	16	8.8%	49.0%	96	NA	0.0%	0.2%	0
blm-1-single-f6-r5-c4_S81_	poor	114667	92388	21.7%	0.2%	4.3%	11	13.3%	50.0%	94	NA	0.0%	0.1%	0
blm-1-single-f6-r5-c5_S82_	poor	121744	101332	21.5%	0.2%	6.2%	12	12.9%	51.0%	95	NA	0.0%	0.4%	0
blm-1-single-f6-r5-c6_S83_	poor	32120	24446	11.5%	0.0%	8.3%	3	15.4%	52.0%	92	NA	0.0%	0.0%	0
blm-1-single-f6-r5-c7_S84_	poor	159309	135108	16.2%	0.3%	6.1%	18	12.9%	48.0%	94	NA	0.0%	0.2%	0
blm-1-single-f6-r6-c1_S85_	poor	54223	42958	12.6%	0.1%	4.2%	5	12.5%	49.0%	93	NA	0.0%	0.0%	0
blm-1-single-f6-r6-c2_S86_	poor	47588	36420	13.5%	0.1%	8.7%	4	12.5%	51.0%	91	NA	0.0%	0.3%	0
blm-1-single-f6-r6-c3_S87_	poor	105161	84214	23.3%	0.1%	4.8%	10	12.0%	49.0%	95	NA	0.0%	0.1%	0
blm-1-single-f6-r6-c4_S88_	good	565523	518710	11.7%	1.1%	1.2%	77	17.0%	39.0%	152	NA	0.0%	1.1%	0
blm-1-single-f6-r6-c5_S89_	poor	57440	41746	12.3%	0.1%	8.4%	5	8.3%	50.0%	90	NA	0.0%	0.1%	0
blm-1-single-f6-r6-c6_S90_	poor	9715	7686	5.4%	0.0%	5.3%	1	17.4%	50.0%	95	NA	0.0%	0.1%	0
blm-1-single-f6-r6-c7_S91_	acceptable	133962	112438	21.5%	0.2%	3.3%	14	11.1%	48.0%	93	NA	0.0%	0.6%	0
blm-1-single-f6-r7-c1_S92_	poor	149445	133004	15.1%	0.3%	1.8%	18	9.1%	46.0%	153	NA	0.0%	0.0%	0
blm-1-single-f6-r7-c2_S93_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-single-f6-r7-c3_S94_	acceptable	113801	95918	18.8%	0.2%	3.6%	12	7.1%	48.0%	95	NA	0.0%	0.2%	0
blm-1-single-f6-r7-c4_S95_	poor	76414	65262	11.1%	0.1%	2.7%	9	3.6%	49.0%	95	NA	0.0%	0.1%	0
blm-1-single-f6-r7-c5_S96_	poor	43139	28548	12.1%	0.1%	6.2%	3	11.5%	52.0%	90	NA	0.0%	0.1%	0
blm-1-single-f6-r7-c6_S97_	acceptable	97165	79154	23.9%	0.1%	3.8%	9	3.7%	50.0%	93	NA	0.0%	0.1%	0
blm-1-single-f7-r1-c1_S99_	good	1127970	1021958	18.7%	2.0%	1.0%	139	17.9%	40.0%	152	NA	0.0%	1.3%	0
blm-1-single-f7-r1-c2_S100_	poor	110867	84202	19.1%	0.2%	4.7%	11	7.1%	50.0%	93	NA	0.0%	0.3%	0
blm-1-single-f7-r1-c3_S101_	poor	14219	10316	14.9%	0.0%	22.6%	1	16.7%	55.0%	63	NA	0.0%	0.1%	0
blm-1-single-f7-r1-c4_S102_	poor	145762	115204	22.3%	0.2%	5.6%	14	10.7%	50.0%	92	NA	0.0%	0.1%	0
blm-1-single-f7-r1-c5_S103_	poor	133140	107904	17.5%	0.2%	4.3%	14	3.8%	48.0%	95	NA	0.0%	0.2%	0
blm-1-single-f7-r1-c6_S104_	poor	97997	69542	16.7%	0.1%	6.0%	8	23.3%	49.0%	94	NA	0.0%	0.1%	0
blm-1-single-f7-r1-c7_S105_	poor	103535	82042	19.7%	0.2%	4.5%	10	4.0%	49.0%	92	NA	0.0%	0.2%	0
blm-1-single-f7-r2-c1_S106_	poor	113143	82190	13.2%	0.2%	9.9%	11	28.1%	50.0%	91	NA	0.0%	0.2%	0
blm-1-single-f7-r2-c2_S107_	poor	85012	68006	11.9%	0.1%	2.9%	10	7.7%	49.0%	155	NA	0.0%	0.3%	0
blm-1-single-f7-r2-c3_S108_	poor	164252	140726	14.6%	0.3%	2.0%	19	15.6%	46.0%	153	NA	0.0%	0.2%	0
blm-1-single-f7-r2-c4_S109_	poor	61608	47372	14.1%	0.1%	5.9%	6	7.7%	50.0%	92	NA	0.0%	0.2%	0
blm-1-single-f7-r2-c5_S110_	poor	150454	120282	19.1%	0.2%	6.2%	15	7.1%	49.0%	94	NA	0.0%	0.2%	0
blm-1-single-f7-r2-c6_S111_	good	341622	311508	17.8%	0.6%	1.9%	43	13.3%	41.0%	163	NA	0.0%	0.5%	0.212508
blm-1-single-f7-r2-c7_S112_	poor	89778	67940	15.6%	0.1%	6.1%	9	10.3%	49.0%	92	NA	0.0%	0.1%	0
blm-1-single-f7-r3-c1_S113_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-single-f7-r3-c2_S114_	poor	7507	6158	2.3%	0.0%	4.3%	1	0.0%	46.0%	152	NA	0.0%	0.1%	0
blm-1-single-f7-r3-c3_S115_	poor	9915	8650	2.7%	0.0%	4.6%	1	4.3%	48.0%	96	NA	0.0%	0.0%	0
blm-1-single-f7-r3-c4_S116_	acceptable	207875	183456	17.8%	0.4%	2.0%	24	7.1%	48.0%	152	NA	0.0%	0.2%	0
blm-1-single-f7-r3-c5_S117_	poor	125395	101418	18.7%	0.2%	4.2%	13	12.5%	48.0%	92	NA	0.0%	0.1%	0
blm-1-single-f7-r3-c6_S118_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-single-f7-r3-c7_S119_	poor	72727	56536	13.7%	0.1%	4.3%	7	8.0%	49.0%	95	NA	0.0%	0.1%	0
blm-1-single-f7-r4-c1_S120_	poor	62625	47114	13.7%	0.1%	5.8%	6	20.7%	50.0%	92	NA	0.0%	0.0%	0
blm-1-single-f7-r4-c2_S121_	poor	73684	59108	11.5%	0.1%	4.0%	8	14.3%	48.0%	94	NA	0.0%	0.1%	0
blm-1-single-f7-r4-c3_S122_	good	900376	821430	15.2%	1.7%	1.3%	115	15.4%	39.0%	151	NA	0.0%	1.5%	0
blm-1-single-f7-r4-c4_S123_	good	316474	279324	21.9%	0.5%	1.8%	35	10.0%	48.0%	153	NA	0.0%	0.4%	0.237999
blm-1-single-f7-r4-c5_S124_	acceptable	220912	194496	19.8%	0.4%	1.8%	25	6.5%	48.0%	151	NA	0.0%	0.3%	0
blm-1-single-f7-r4-c6_S125_	poor	193609	167022	21.5%	0.3%	13.8%	20	18.9%	49.0%	153	NA	0.0%	0.4%	0
blm-1-single-f7-r4-c7_S126_	poor	46148	37398	11.4%	0.1%	6.1%	4	17.9%	50.0%	94	NA	0.0%	0.1%	0
blm-1-single-f7-r5-c1_S127_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-single-f7-r5-c2_S128_	good	607820	551078	13.2%	1.2%	1.4%	80	18.8%	39.0%	150	NA	0.0%	1.1%	0
blm-1-single-f7-r5-c3_S129_	poor	109121	88302	20.0%	0.2%	7.2%	11	7.7%	51.0%	93	NA	0.0%	0.0%	0
blm-1-single-f7-r5-c4_S130_	poor	167052	142344	11.6%	0.3%	5.6%	20	48.6%	49.0%	150	NA	0.0%	0.3%	0
blm-1-single-f7-r5-c5_S131_	good	782958	717178	16.4%	1.5%	1.4%	102	9.8%	39.0%	153	NA	0.0%	1.4%	0
blm-1-single-f7-r5-c6_S132_	poor	103261	90074	13.9%	0.2%	2.4%	12	3.6%	48.0%	155	NA	0.0%	0.0%	0.740908
blm-1-single-f7-r5-c7_S133_	good	774667	716392	20.1%	1.4%	1.9%	109	7.1%	39.0%	153	NA	0.0%	1.0%	0
blm-1-single-f7-r6-c1_S134_	poor	579467	527828	17.9%	1.0%	3.6%	72	21.4%	39.0%	150	NA	0.0%	0.9%	0
blm-1-single-f7-r6-c2_S135_	good	473430	429896	24.5%	0.8%	2.0%	52	14.6%	39.0%	150	NA	0.0%	0.5%	0.154048
blm-1-single-f7-r6-c3_S136_	good	1473103	1346460	23.4%	2.5%	1.3%	171	17.9%	40.0%	150	NA	0.0%	2.9%	0
blm-1-single-f7-r6-c4_S137_	good	742876	679806	13.9%	1.4%	1.9%	97	18.2%	39.0%	152	NA	0.0%	1.1%	0
blm-1-single-f7-r6-c5_S138_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-single-f7-r6-c6_S139_	poor	34725	29660	11.3%	0.1%	9.3%	3	16.0%	49.0%	96	NA	0.0%	0.2%	0
blm-1-single-f7-r6-c7_S140_	acceptable	164542	148150	19.2%	0.3%	1.6%	19	10.3%	41.0%	153	NA	0.0%	0.5%	0
blm-1-single-f7-r7-c1_S141_	good	662740	606574	17.7%	1.2%	1.6%	90	16.7%	38.0%	151	NA	0.0%	1.1%	0
blm-1-single-f7-r7-c2_S142_	poor	40878	36714	13.9%	0.1%	3.3%	5	8.3%	43.0%	149	NA	0.0%	0.2%	0
blm-1-single-f7-r7-c3_S143_	poor	357976	326844	16.5%	0.7%	8.1%	44	13.9%	38.0%	153	>=2	0.0%	0.6%	0
blm-1-single-f7-r7-c4_S144_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-single-f7-r7-c5_S145_	poor	212688	193016	23.4%	0.4%	10.6%	23	13.8%	41.0%	153	NA	0.0%	0.2%	0
blm-1-single-f7-r7-c6_S146_	poor	592359	537730	25.3%	1.0%	5.0%	65	22.4%	40.0%	149	NA	0.0%	0.9%	0
blm-recq5-1-negctrl-f13-r7-c7_S441_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-recq5-1-negctrl-f14-r7-c7_S490_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-recq5-1-negctrl-f15-r7-c7_S539_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-recq5-1-single-f13-r1-c1_S393_	good	1697826	1556632	11.8%	3.3%	1.1%	232	35.1%	41.0%	149	NA	0.0%	2.5%	0.0416553
blm-recq5-1-single-f13-r1-c2_S394_	good	1696034	1535842	13.1%	3.3%	1.1%	221	20.6%	39.0%	148	NA	0.0%	3.1%	0
blm-recq5-1-single-f13-r1-c3_S395_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-recq5-1-single-f13-r1-c4_S396_	poor	34063	19376	14.0%	0.0%	12.2%	2	7.7%	50.0%	68	NA	0.0%	0.1%	0
blm-recq5-1-single-f13-r1-c5_S397_	poor	21858	8904	11.4%	0.0%	0.0%	1	8.7%	34.0%	148	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r1-c6_S398_	poor	22432	9184	14.9%	0.0%	0.0%	1	13.0%	35.0%	147	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r1-c7_S399_	poor	35480	22924	15.0%	0.0%	10.7%	3	11.1%	51.0%	68	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r2-c1_S400_	poor	21345	11264	12.9%	0.0%	11.2%	1	8.7%	50.0%	72	NA	0.0%	0.1%	0
blm-recq5-1-single-f13-r2-c2_S401_	poor	24750	10632	7.8%	0.0%	19.3%	1	12.0%	47.0%	66	NA	0.0%	0.1%	0
blm-recq5-1-single-f13-r2-c3_S402_	poor	34641	19404	12.6%	0.0%	17.5%	2	14.3%	50.0%	71	NA	0.0%	0.1%	0
blm-recq5-1-single-f13-r2-c4_S403_	poor	30186	19340	12.6%	0.0%	13.9%	2	19.2%	52.0%	67	NA	0.0%	0.1%	0
blm-recq5-1-single-f13-r2-c5_S404_	poor	23925	10688	14.5%	0.0%	0.0%	1	8.7%	36.0%	147	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r2-c6_S405_	poor	29664	16614	13.9%	0.0%	29.5%	2	25.0%	37.0%	69	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r2-c7_S406_	poor	28036	16004	11.2%	0.0%	19.0%	2	15.4%	53.0%	91	NA	0.0%	0.1%	0
blm-recq5-1-single-f13-r3-c1_S407_	good	601369	545266	7.1%	1.2%	1.9%	96	17.0%	39.0%	148	NA	0.0%	1.2%	0.119936
blm-recq5-1-single-f13-r3-c2_S408_	poor	20784	11630	11.0%	0.0%	7.0%	1	13.0%	32.0%	65	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r3-c3_S409_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-recq5-1-single-f13-r3-c4_S410_	poor	25901	15380	10.8%	0.0%	24.9%	2	4.0%	33.0%	89	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r3-c5_S411_	poor	43432	28564	16.5%	0.1%	16.4%	3	14.8%	49.0%	71	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r3-c6_S412_	poor	16432	8090	8.8%	0.0%	0.0%	1	52.2%	36.0%	54	>=2	0.0%	0.0%	0
blm-recq5-1-single-f13-r3-c7_S413_	poor	23619	12586	9.9%	0.0%	13.9%	1	24.0%	52.0%	66	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r4-c1_S414_	poor	25887	12862	10.1%	0.0%	12.8%	1	16.7%	54.0%	68	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r4-c2_S415_	poor	24353	16588	11.6%	0.0%	31.3%	2	8.3%	52.0%	70	NA	0.0%	0.1%	0
blm-recq5-1-single-f13-r4-c3_S416_	poor	28614	17498	10.4%	0.0%	10.8%	2	19.2%	53.0%	69	NA	0.0%	0.1%	0
blm-recq5-1-single-f13-r4-c4_S417_	poor	48379	30966	16.7%	0.1%	11.4%	4	14.3%	51.0%	72	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r4-c5_S418_	poor	20873	12180	15.0%	0.0%	26.3%	1	20.8%	37.0%	147	>=2	0.0%	0.0%	0
blm-recq5-1-single-f13-r4-c6_S419_	poor	24799	14178	11.0%	0.0%	0.0%	2	12.5%	32.0%	65	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r4-c7_S420_	poor	24996	15158	9.2%	0.0%	15.7%	2	7.7%	52.0%	72	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r5-c1_S421_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-recq5-1-single-f13-r5-c2_S422_	poor	23311	14588	8.1%	0.0%	24.3%	2	18.5%	50.0%	71	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r5-c3_S423_	poor	44944	26614	16.7%	0.1%	0.0%	3	19.2%	33.0%	69	NA	0.0%	0.1%	0
blm-recq5-1-single-f13-r5-c4_S424_	poor	42695	28312	16.9%	0.1%	20.1%	3	10.7%	50.0%	69	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r5-c5_S425_	poor	33215	21640	13.9%	0.0%	17.0%	3	14.8%	56.0%	68	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r5-c6_S426_	poor	10710	5626	8.5%	0.0%	0.0%	1	4.3%	32.0%	70	NA	0.0%	0.0%	0
blm-recq5-1-single-f13-r5-c7_S427_	poor	30483	18896	13.4%	0.0%	10.8%	2	20.8%	54.0%	70	NA	0.0%	0.1%	0
blm-recq5-1-single-f13-r6-c1_S428_	poor	35718	21448	14.4%	0.0%	17.7%	2	28.6%	35.0%	68	NA	0.0%	0.1%	0
blm-recq5-1-single-f13-r6-c2_S429_	poor	47914	33164	15.4%	0.1%	11.8%	4	8.0%	51.0%	69	NA	0.0%	0.1%	0
