Position	Library	Reads_aligned_prefiltering	Duplication_rate	Coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_5_percent_coverage	Reads_aligned_postfiltering	Quality
cluster14_well32	zeid_BLM_UV300s_hoechst3_cluster14_well32_S473_	8908457	41.00%	11.50%	4.70%	798	45.70%	39%	152	0.19	8144792	poor
cluster14_well33	zeid_BLM_UV300s_hoechst3_cluster14_well33_S474_	2881948	22.30%	4.90%	1.80%	342	45.30%	39%	154	0.21	2631682	good
cluster14_well34	zeid_BLM_UV300s_hoechst3_cluster14_well34_S475_	1628024	10.60%	3.20%	3.50%	219	38.70%	39%	151	0.19	1479684	good
cluster14_well37	zeid_BLM_UV300s_hoechst3_cluster14_well37_S478_	5639	48.00%	0.00%	0.00%	0	62.50%	50%	159	NA	4738	poor
cluster14_well38	zeid_BLM_UV300s_hoechst3_cluster14_well38_S479_	6052700	29.30%	9.40%	0.00%	637	96.20%	39%	152	0.19	5522120	poor
cluster14_well39	zeid_BLM_UV300s_hoechst3_cluster14_well39_S480_	2241936	11.80%	4.30%	13.40%	283	50.00%	42%	153	0.19	2038408	poor
cluster14_well40	zeid_BLM_UV300s_hoechst3_cluster14_well40_S481_	4078701	21.00%	7.00%	3.70%	497	44.50%	40%	148	0.19	3706172	poor
cluster14_well41	zeid_BLM_UV300s_hoechst3_cluster14_well41_S482_	1349817	9.10%	2.70%	2.50%	186	48.10%	39%	153	0.19	1233530	good
cluster14_well1	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well1_S442_	8064	27.70%	0.00%	0.00%	1	54.20%	39%	152	>2	7312	poor
cluster14_well14	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well14_S455_	5161	42.60%	0.00%	0.00%	0	50.00%	43%	171	NA	4158	poor
cluster14_well15	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well15_S456_	1178	40.00%	0.00%	20.00%	0	47.80%	48%	177	>2	1076	poor
cluster14_well2	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well2_S443_	7708	20.40%	0.00%	0.00%	1	65.20%	41%	158	>2	6988	poor
cluster14_well21	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well21_S462_	1919	46.20%	0.00%	0.00%	0	43.50%	48%	172	>2	1632	poor
cluster14_well22	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well22_S463_	2241	36.00%	0.00%	0.00%	0	47.80%	47%	195	>2	1998	poor
cluster14_well28	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well28_S469_	982	31.20%	0.00%	33.30%	0	34.80%	50%	181	>2	866	poor
cluster14_well29	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well29_S470_	573	18.90%	0.00%	20.00%	0	43.50%	53%	161	NA	530	poor
cluster14_well3	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well3_S444_	3787	0.90%	0.00%	0.00%	0	65.20%	38%	154	NA	3470	poor
cluster14_well35	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well35_S476_	1600	32.90%	0.00%	0.00%	0	65.20%	51%	174	>2	1422	poor
cluster14_well36	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well36_S477_	6559	1.10%	0.00%	0.00%	1	56.50%	38%	152	NA	5948	poor
cluster14_well4	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well4_S445_	1499	20.60%	0.00%	0.00%	0	69.60%	47%	157	>2	1202	poor
cluster14_well42	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well42_S483_	6445	17.80%	0.00%	0.00%	1	52.20%	43%	156	>2	5924	poor
cluster14_well43	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well43_S484_	3778	31.00%	0.00%	50.00%	0	54.20%	50%	154	>2	3372	poor
cluster14_well44	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well44_S485_	1729	39.30%	0.00%	0.00%	0	52.20%	49%	163	>2	1530	poor
cluster14_well45	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well45_S486_	1479	40.00%	0.00%	0.00%	0	34.80%	44%	170	NA	1314	poor
cluster14_well46	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well46_S487_	6776	26.80%	0.00%	0.00%	0	78.30%	50%	158	>2	6112	poor
cluster14_well47	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well47_S488_	710	26.30%	0.00%	33.30%	0	41.70%	50%	163	1.94	638	poor
cluster14_well48	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well48_S489_	8039	14.50%	0.00%	0.00%	1	73.90%	37%	149	NA	7082	poor
cluster14_well49	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well49_S490_	24867	4.90%	0.00%	40.60%	3	68.00%	41%	153	NA	22062	poor
cluster14_well5	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well5_S446_	34425	4.80%	0.10%	37.90%	5	81.50%	40%	154	0.61	31210	poor
cluster14_well6	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well6_S447_	32150	5.10%	0.10%	27.50%	4	70.40%	38%	154	NA	29298	poor
cluster14_well7	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well7_S448_	10129	17.20%	0.00%	50.00%	1	70.80%	40%	168	NA	9140	poor
cluster14_well8	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well8_S449_	5668	31.90%	0.00%	0.00%	0	73.90%	46%	152	>2	5054	poor
cluster14_well9	zeid_BLM_UV300s_hoechst3_negativecontrol_cluster14_well9_S450_	2196	46.40%	0.00%	33.30%	0	60.90%	41%	164	>2	1908	poor
cluster15_well10	zeid_RECQ5_UV300s_hoechst3_cluster15_well10_S500_	1172379	7.40%	2.40%	7.20%	158	36.50%	41%	149	0.19	1064380	poor
cluster15_well11	zeid_RECQ5_UV300s_hoechst3_cluster15_well11_S501_	3626	3.80%	0.00%	0.00%	0	65.20%	42%	149	>2	3296	poor
cluster15_well12	zeid_RECQ5_UV300s_hoechst3_cluster15_well12_S502_	1108464	6.90%	2.20%	17.30%	153	58.00%	40%	151	0.19	1004878	poor
cluster15_well13	zeid_RECQ5_UV300s_hoechst3_cluster15_well13_S503_	1278947	8.30%	2.50%	9.60%	177	46.70%	40%	149	NA	1159890	good
cluster15_well16	zeid_RECQ5_UV300s_hoechst3_cluster15_well16_S506_	508048	3.20%	1.10%	10.50%	73	64.70%	43%	149	0.19	458004	good
cluster15_well17	zeid_RECQ5_UV300s_hoechst3_cluster15_well17_S507_	369841	3.20%	0.80%	10.20%	52	48.80%	41%	153	0.2	335536	poor
cluster15_well18	zeid_RECQ5_UV300s_hoechst3_cluster15_well18_S508_	418661	4.20%	0.90%	15.30%	58	57.10%	39%	150	NA	382092	poor
cluster15_well19	zeid_RECQ5_UV300s_hoechst3_cluster15_well19_S509_	1393019	8.60%	2.80%	13.70%	192	54.00%	41%	149	0.19	1262762	good
cluster15_well20	zeid_RECQ5_UV300s_hoechst3_cluster15_well20_S510_	941251	7.50%	1.90%	6.00%	131	50.00%	39%	153	0.2	857508	good
cluster15_well23	zeid_RECQ5_UV300s_hoechst3_cluster15_well23_S513_	386369	2.90%	0.80%	5.10%	56	53.20%	41%	150	0.2	349536	good
cluster15_well24	zeid_RECQ5_UV300s_hoechst3_cluster15_well24_S514_	839030	5.80%	1.70%	10.00%	118	44.90%	41%	151	NA	761276	good
cluster15_well25	zeid_RECQ5_UV300s_hoechst3_cluster15_well25_S515_	1358790	9.20%	2.70%	7.20%	186	53.80%	39%	151	0.19	1234952	good
cluster15_well26	zeid_RECQ5_UV300s_hoechst3_cluster15_well26_S516_	776901	5.10%	1.60%	10.60%	110	52.10%	40%	150	0.19	701866	good
cluster15_well27	zeid_RECQ5_UV300s_hoechst3_cluster15_well27_S517_	575296	4.90%	1.20%	8.50%	80	56.10%	40%	151	0.21	521150	good
cluster15_well30	zeid_RECQ5_UV300s_hoechst3_cluster15_well30_S520_	485720	3.80%	1.00%	9.50%	70	45.20%	41%	150	NA	438986	good
cluster15_well31	zeid_RECQ5_UV300s_hoechst3_cluster15_well31_S521_	976802	7.30%	2.00%	7.20%	135	44.00%	38%	154	0.2	888240	good
cluster15_well32	zeid_RECQ5_UV300s_hoechst3_cluster15_well32_S522_	1490230	9.60%	3.00%	5.20%	207	36.70%	39%	152	0.19	1361648	good
cluster15_well33	zeid_RECQ5_UV300s_hoechst3_cluster15_well33_S523_	620	0.80%	0.00%	50.00%	0	34.80%	42%	155	NA	530	poor
cluster15_well34	zeid_RECQ5_UV300s_hoechst3_cluster15_well34_S524_	200	1.20%	0.00%	33.30%	0	17.40%	41%	151	NA	172	poor
cluster15_well37	zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_	819916	7.40%	1.60%	9.60%	114	34.00%	40%	149	0.21	739224	good
cluster15_well38	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_	1080158	6.80%	2.20%	9.90%	151	53.30%	41%	150	0.19	976904	good
cluster15_well39	zeid_RECQ5_UV300s_hoechst3_cluster15_well39_S529_	579260	4.80%	1.20%	16.90%	81	61.50%	40%	151	0.2	527404	poor
cluster15_well40	zeid_RECQ5_UV300s_hoechst3_cluster15_well40_S530_	578	7.00%	0.00%	50.00%	0	52.20%	45%	147	NA	512	poor
cluster15_well41	zeid_RECQ5_UV300s_hoechst3_cluster15_well41_S531_	134242	2.60%	0.30%	14.80%	19	51.60%	40%	149	0.32	122610	poor
cluster15_well1	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well1_S491_	804	19.80%	0.00%	0.00%	0	34.80%	48%	149	NA	678	poor
cluster15_well14	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well14_S504_	329	7.90%	0.00%	25.00%	0	60.90%	50%	173	NA	278	poor
cluster15_well15	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well15_S505_	25	0.00%	0.00%	50.00%	0	0.00%	42%	83	NA	22	poor
cluster15_well2	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well2_S492_	1322	20.30%	0.00%	0.00%	0	69.60%	50%	161	NA	1150	poor
cluster15_well21	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well21_S511_	380	16.40%	0.00%	25.00%	0	43.50%	50%	179	>2	330	poor
cluster15_well22	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well22_S512_	77	5.90%	0.00%	44.40%	0	21.10%	30%	132	NA	68	poor
cluster15_well28	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well28_S518_	98	0.00%	0.00%	40.00%	0	22.70%	38%	179	NA	88	poor
cluster15_well29	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well29_S519_	165	2.80%	0.00%	40.00%	0	23.80%	53%	166	NA	144	poor
cluster15_well3	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well3_S493_	10385	18.50%	0.00%	0.00%	0	91.30%	52%	58	NA	4238	poor
cluster15_well35	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well35_S525_	576	23.10%	0.00%	33.30%	0	52.20%	50%	171	>2	494	poor
cluster15_well36	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well36_S526_	1826	9.00%	0.00%	0.00%	0	66.70%	52%	148	>2	1618	poor
cluster15_well4	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well4_S494_	7768	6.90%	0.00%	0.00%	1	60.90%	39%	152	>2	6900	poor
cluster15_well42	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well42_S532_	19	0.00%	0.00%	50.00%	0	12.50%	26%	90	NA	18	poor
cluster15_well43	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well43_S533_	1366	23.30%	0.00%	25.00%	0	58.30%	47%	153	NA	1140	poor
cluster15_well44	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well44_S534_	702	19.90%	0.00%	0.00%	0	26.10%	49%	156	NA	532	poor
cluster15_well45	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well45_S535_	517	15.90%	0.00%	0.00%	0	30.40%	48%	179	>2	428	poor
cluster15_well46	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well46_S536_	2514	13.20%	0.00%	50.00%	0	62.50%	49%	153	NA	2234	poor
cluster15_well47	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well47_S537_	4	0.00%	0.00%	50.00%	0	0.00%	33%	149	NA	4	poor
cluster15_well48	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well48_S538_	1578	21.90%	0.00%	0.00%	0	39.10%	46%	148	NA	1350	poor
cluster15_well49	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well49_S539_	3402	5.60%	0.00%	50.00%	0	58.30%	40%	151	>2	2940	poor
cluster15_well5	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well5_S495_	5848	4.50%	0.00%	0.00%	1	60.90%	43%	147	NA	5318	poor
cluster15_well6	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well6_S496_	6181	9.90%	0.00%	50.00%	1	62.50%	43%	151	NA	5238	poor
cluster15_well7	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well7_S497_	1643	12.30%	0.00%	0.00%	0	34.80%	44%	150	>2	1480	poor
cluster15_well8	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well8_S498_	1088	3.80%	0.00%	33.30%	0	47.80%	42%	149	NA	944	poor
cluster15_well9	zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well9_S499_	539	16.50%	0.00%	33.30%	0	40.90%	44%	165	>2	462	poor
cluster13_well10	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_	2367546	19.40%	4.10%	7.20%	284	25.30%	41%	148	0.21	2132524	good
cluster13_well11	zeid_WT_UV300s_hoechst3_cluster13_well11_S403_	1370709	13.90%	2.50%	10.00%	173	39.40%	41%	149	0.23	1238534	poor
cluster13_well12	zeid_WT_UV300s_hoechst3_cluster13_well12_S404_	2662	7.10%	0.00%	0.00%	0	60.90%	44%	150	NA	2296	poor
cluster13_well13	zeid_WT_UV300s_hoechst3_cluster13_well13_S405_	3554	0.60%	0.00%	0.00%	0	26.10%	42%	152	NA	3096	poor
cluster13_well16	zeid_WT_UV300s_hoechst3_cluster13_well16_S408_	724148	12.60%	1.40%	9.90%	92	32.90%	41%	148	0.35	652386	poor
cluster13_well17	zeid_WT_UV300s_hoechst3_cluster13_well17_S409_	155	0.00%	0.00%	21.40%	0	26.30%	46%	152	NA	126	poor
cluster13_well18	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_	1247546	13.40%	2.30%	8.90%	160	22.60%	42%	148	0.23	1124318	good
cluster13_well19	zeid_WT_UV300s_hoechst3_cluster13_well19_S411_	1464843	17.50%	2.60%	17.70%	163	44.20%	40%	148	0.25	1338440	poor
cluster13_well20	zeid_WT_UV300s_hoechst3_cluster13_well20_S412_	1624745	14.10%	3.00%	9.30%	206	41.00%	41%	148	0.21	1463206	poor
cluster13_well23	zeid_WT_UV300s_hoechst3_cluster13_well23_S415_	936	12.00%	0.00%	0.00%	0	45.80%	50%	164	NA	820	poor
cluster13_well24	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_	272214	4.10%	0.60%	6.80%	38	8.10%	41%	148	0.27	244968	good
cluster13_well25	zeid_WT_UV300s_hoechst3_cluster13_well25_S417_	919	8.10%	0.00%	25.00%	0	47.80%	43%	165	NA	794	poor
cluster13_well26	zeid_WT_UV300s_hoechst3_cluster13_well26_S418_	712564	10.00%	1.40%	14.50%	111	26.80%	43%	148	0.27	654020	poor
cluster13_well27	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_	814103	12.10%	1.50%	9.40%	106	29.20%	41%	147	0.29	733194	good
cluster13_well30	zeid_WT_UV300s_hoechst3_cluster13_well30_S422_	629813	8.00%	1.30%	31.50%	79	20.70%	41%	148	0.24	573792	poor
cluster13_well31	zeid_WT_UV300s_hoechst3_cluster13_well31_S423_	1758	7.50%	0.00%	50.00%	0	66.70%	48%	159	NA	1552	poor
cluster13_well32	zeid_WT_UV300s_hoechst3_cluster13_well32_S424_	2900	0.50%	0.00%	0.00%	0	60.90%	41%	151	NA	2596	poor
cluster13_well33	zeid_WT_UV300s_hoechst3_cluster13_well33_S425_	1211084	23.20%	2.00%	8.90%	138	25.40%	41%	147	0.61	1095528	poor
cluster13_well34	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_	312818	5.70%	0.60%	6.10%	44	13.50%	41%	148	0.32	282330	good
cluster13_well37	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_	932954	9.10%	1.80%	6.90%	126	24.20%	41%	148	0.22	838090	good
cluster13_well38	zeid_WT_UV300s_hoechst3_cluster13_well38_S430_	519	0.00%	0.00%	0.00%	0	30.40%	47%	151	NA	440	poor
cluster13_well39	zeid_WT_UV300s_hoechst3_cluster13_well39_S431_	278	0.00%	0.00%	0.00%	0	31.80%	48%	139	NA	222	poor
cluster13_well40	zeid_WT_UV300s_hoechst3_cluster13_well40_S432_	555	1.40%	0.00%	16.70%	0	8.70%	45%	156	NA	426	poor
cluster13_well41	zeid_WT_UV300s_hoechst3_cluster13_well41_S433_	55870	3.10%	0.10%	32.20%	8	17.90%	40%	148	>2	50428	poor
cluster13_well1	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well1_S393_	1210	21.40%	0.00%	0.00%	0	58.30%	48%	163	>2	1092	poor
cluster13_well14	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well14_S406_	987	32.40%	0.00%	50.00%	0	39.10%	46%	179	>2	888	poor
cluster13_well15	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well15_S407_	514	20.40%	0.00%	0.00%	0	56.50%	44%	169	>2	442	poor
cluster13_well2	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well2_S394_	542	21.70%	0.00%	16.70%	0	26.10%	52%	149	>2	470	poor
cluster13_well21	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well21_S413_	611	13.20%	0.00%	50.00%	0	47.80%	48%	147	NA	546	poor
cluster13_well22	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well22_S414_	707	28.90%	0.00%	20.00%	0	30.40%	47%	177	>2	622	poor
cluster13_well28	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well28_S420_	970	32.30%	0.00%	0.00%	0	56.50%	46%	167	>2	836	poor
cluster13_well29	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well29_S421_	226	8.10%	0.00%	36.40%	0	28.60%	48%	183	NA	198	poor
cluster13_well3	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well3_S395_	1490	0.30%	0.00%	0.00%	0	30.40%	38%	148	NA	1352	poor
cluster13_well35	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well35_S427_	688	22.70%	0.00%	0.00%	0	21.70%	57%	187	NA	600	poor
cluster13_well36	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well36_S428_	2719	24.10%	0.00%	0.00%	0	73.90%	48%	156	>2	2434	poor
cluster13_well4	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well4_S396_	5641	14.10%	0.00%	0.00%	0	60.90%	47%	148	>2	4782	poor
cluster13_well42	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well42_S434_	1624	31.80%	0.00%	0.00%	0	60.90%	50%	182	>2	1414	poor
cluster13_well43	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well43_S435_	261	1.70%	0.00%	27.80%	0	18.20%	45%	152	NA	232	poor
cluster13_well44	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well44_S436_	683	23.90%	0.00%	0.00%	0	39.10%	46%	173	>2	612	poor
cluster13_well45	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well45_S437_	694	23.40%	0.00%	0.00%	0	43.50%	49%	164	>2	616	poor
cluster13_well46	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well46_S438_	1877	16.50%	0.00%	0.00%	0	43.50%	51%	156	NA	1604	poor
cluster13_well47	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well47_S439_	56	4.80%	0.00%	50.00%	0	25.00%	32%	110	NA	42	poor
cluster13_well48	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well48_S440_	1306	28.00%	0.00%	0.00%	0	47.80%	47%	152	NA	1128	poor
cluster13_well49	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well49_S441_	4228	12.90%	0.00%	0.00%	0	73.90%	46%	147	NA	3742	poor
cluster13_well5	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well5_S397_	5562	20.40%	0.00%	0.00%	0	56.50%	48%	148	>2	3154	poor
cluster13_well6	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well6_S398_	3695	11.80%	0.00%	0.00%	0	65.20%	47%	151	NA	3318	poor
cluster13_well7	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well7_S399_	971	2.10%	0.00%	0.00%	0	26.10%	38%	149	NA	848	poor
cluster13_well8	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well8_S400_	916	1.20%	0.00%	0.00%	0	43.50%	41%	150	NA	836	poor
cluster13_well9	zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well9_S401_	687	26.80%	0.00%	33.30%	0	56.50%	46%	174	>2	604	poor
